"(((Five:Spades),(Two:Spades)),((Three:Hearts),(Three:Diamonds)))",0.3745,3.41e-2,0.5914
"(((Five:Spades),(Two:Spades)),((Three:Spades),(Three:Hearts)))",0.3696,3.47e-2,0.5957
"(((Five:Spades),(Two:Spades)),((Four:Hearts),(Three:Diamonds)))",0.4666,0.191,0.3424
"(((Five:Spades),(Two:Spades)),((Four:Hearts),(Three:Hearts)))",0.446,0.1859,0.3681
"(((Five:Spades),(Two:Spades)),((Four:Hearts),(Three:Spades)))",0.4433,0.1962,0.3605
"(((Five:Spades),(Two:Spades)),((Four:Hearts),(Four:Diamonds)))",0.3652,2.73e-2,0.6075
"(((Five:Spades),(Two:Spades)),((Four:Spades),(Three:Hearts)))",0.4562,0.1962,0.3476
"(((Five:Spades),(Two:Spades)),((Four:Spades),(Three:Spades)))",0.4313,0.1976,0.3711
"(((Five:Spades),(Two:Spades)),((Four:Spades),(Four:Hearts)))",0.3572,2.79e-2,0.6149
"(((Five:Spades),(Two:Spades)),((Five:Hearts),(Two:Diamonds)))",0.1122,0.8662,2.16e-2
"(((Five:Spades),(Two:Spades)),((Five:Hearts),(Two:Hearts)))",0.1122,0.8517,3.61e-2
"(((Five:Spades),(Three:Hearts)),((Two:Diamonds),(Two:Clubs)))",0.4681,3.78e-2,0.4941
"(((Five:Spades),(Three:Hearts)),((Two:Hearts),(Two:Diamonds)))",0.4695,3.79e-2,0.4926
"(((Five:Spades),(Three:Hearts)),((Two:Spades),(Two:Diamonds)))",0.4678,3.79e-2,0.4943
"(((Five:Spades),(Three:Hearts)),((Two:Spades),(Two:Hearts)))",0.4728,3.82e-2,0.489
"(((Five:Spades),(Three:Hearts)),((Three:Diamonds),(Two:Clubs)))",0.4686,0.3417,0.1897
"(((Five:Spades),(Three:Hearts)),((Three:Diamonds),(Two:Diamonds)))",0.4366,0.312,0.2514
"(((Five:Spades),(Three:Hearts)),((Three:Diamonds),(Two:Hearts)))",0.4709,0.3452,0.1839
"(((Five:Spades),(Three:Hearts)),((Three:Diamonds),(Two:Spades)))",0.4699,0.3448,0.1853
"(((Five:Spades),(Three:Hearts)),((Three:Diamonds),(Three:Clubs)))",0.3685,5.07e-2,0.5808
"(((Five:Spades),(Three:Hearts)),((Three:Diamonds),(Four:Clubs)))",0.4271,0.3775,0.1954
"(((Five:Spades),(Three:Hearts)),((Three:Diamonds),(Four:Diamonds)))",0.3935,0.3441,0.2624
"(((Five:Spades),(Three:Hearts)),((Three:Diamonds),(Four:Hearts)))",0.4222,0.3791,0.1987
"(((Five:Spades),(Three:Hearts)),((Three:Diamonds),(Four:Spades)))",0.4234,0.3787,0.1979
"(((Five:Spades),(Three:Hearts)),((Three:Spades),(Two:Diamonds)))",0.469,0.3455,0.1855
"(((Five:Spades),(Three:Hearts)),((Three:Spades),(Two:Hearts)))",0.4727,0.3537,0.1736
"(((Five:Spades),(Three:Hearts)),((Three:Spades),(Two:Spades)))",0.443,0.3204,0.2366
"(((Five:Spades),(Three:Hearts)),((Three:Spades),(Three:Diamonds)))",0.3682,5.11e-2,0.5807
"(((Five:Spades),(Three:Hearts)),((Three:Spades),(Four:Diamonds)))",0.4195,0.379,0.2015
"(((Five:Spades),(Three:Hearts)),((Three:Spades),(Four:Hearts)))",0.4201,0.3903,0.1896
"(((Five:Spades),(Three:Hearts)),((Three:Spades),(Four:Spades)))",0.3984,0.3563,0.2453
"(((Five:Spades),(Three:Hearts)),((Four:Diamonds),(Two:Clubs)))",0.4999,0.2131,0.287
"(((Five:Spades),(Three:Hearts)),((Four:Diamonds),(Two:Diamonds)))",0.4631,0.1889,0.348
"(((Five:Spades),(Three:Hearts)),((Four:Diamonds),(Two:Hearts)))",0.5004,0.2137,0.2859
"(((Five:Spades),(Three:Hearts)),((Four:Diamonds),(Two:Spades)))",0.4989,0.2136,0.2875
"(((Five:Spades),(Three:Hearts)),((Four:Diamonds),(Four:Clubs)))",0.3285,2.96e-2,0.6419
"(((Five:Spades),(Three:Hearts)),((Four:Hearts),(Two:Diamonds)))",0.4961,0.2137,0.2902
"(((Five:Spades),(Three:Hearts)),((Four:Hearts),(Two:Hearts)))",0.4798,0.2085,0.3117
"(((Five:Spades),(Three:Hearts)),((Four:Hearts),(Two:Spades)))",0.5002,0.2186,0.2812
"(((Five:Spades),(Three:Hearts)),((Four:Hearts),(Four:Diamonds)))",0.3243,2.97e-2,0.646
"(((Five:Spades),(Three:Hearts)),((Four:Spades),(Two:Diamonds)))",0.4975,0.2139,0.2886
"(((Five:Spades),(Three:Hearts)),((Four:Spades),(Two:Hearts)))",0.5028,0.2187,0.2785
"(((Five:Spades),(Three:Hearts)),((Four:Spades),(Two:Spades)))",0.4593,0.1961,0.3446
"(((Five:Spades),(Three:Hearts)),((Four:Spades),(Four:Diamonds)))",0.3268,3.0e-2,0.6432
"(((Five:Spades),(Three:Hearts)),((Four:Spades),(Four:Hearts)))",0.3261,3.07e-2,0.6432
"(((Five:Spades),(Three:Hearts)),((Five:Diamonds),(Two:Clubs)))",0.3138,0.5052,0.181
"(((Five:Spades),(Three:Hearts)),((Five:Diamonds),(Two:Diamonds)))",0.2883,0.4596,0.2521
"(((Five:Spades),(Three:Hearts)),((Five:Diamonds),(Two:Hearts)))",0.3133,0.5066,0.1801
"(((Five:Spades),(Three:Hearts)),((Five:Diamonds),(Two:Spades)))",0.311,0.5071,0.1819
"(((Five:Spades),(Three:Hearts)),((Five:Diamonds),(Three:Clubs)))",2.48e-2,0.9581,1.71e-2
"(((Five:Spades),(Three:Hearts)),((Five:Diamonds),(Three:Spades)))",1.55e-2,0.9642,2.03e-2
"(((Five:Spades),(Three:Hearts)),((Five:Hearts),(Two:Diamonds)))",0.308,0.5045,0.1875
"(((Five:Spades),(Three:Hearts)),((Five:Hearts),(Two:Hearts)))",0.3091,0.4982,0.1927
"(((Five:Spades),(Three:Hearts)),((Five:Hearts),(Two:Spades)))",0.3098,0.5176,0.1726
"(((Five:Spades),(Three:Hearts)),((Five:Hearts),(Three:Spades)))",8.8e-3,0.9895,1.7e-3
"(((Five:Spades),(Three:Spades)),((Two:Hearts),(Two:Diamonds)))",0.5139,3.52e-2,0.4509
"(((Five:Spades),(Three:Spades)),((Two:Spades),(Two:Hearts)))",0.5107,3.55e-2,0.4538
"(((Five:Spades),(Three:Spades)),((Three:Hearts),(Two:Diamonds)))",0.5145,0.3122,0.1733
"(((Five:Spades),(Three:Spades)),((Three:Hearts),(Two:Hearts)))",0.4882,0.3071,0.2047
"(((Five:Spades),(Three:Spades)),((Three:Hearts),(Two:Spades)))",0.509,0.3205,0.1705
"(((Five:Spades),(Three:Spades)),((Three:Hearts),(Three:Diamonds)))",0.4219,4.79e-2,0.5302
"(((Five:Spades),(Three:Spades)),((Three:Hearts),(Four:Diamonds)))",0.4669,0.3449,0.1882
"(((Five:Spades),(Three:Spades)),((Three:Hearts),(Four:Hearts)))",0.4474,0.3403,0.2123
"(((Five:Spades),(Three:Spades)),((Three:Hearts),(Four:Spades)))",0.4591,0.3565,0.1844
"(((Five:Spades),(Three:Spades)),((Four:Hearts),(Two:Diamonds)))",0.5417,0.1917,0.2666
"(((Five:Spades),(Three:Spades)),((Four:Hearts),(Two:Hearts)))",0.5083,0.1863,0.3054
